  using 8 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading data file ...
  orthogonal box = (-60 -40 -40) to (60 40 40)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  700 atoms
  read_data CPU = 0.004 seconds
Reading airebo potential file CH.airebo with DATE: 2011-10-25
700 atoms in group carbon_atoms
10 atoms in group cnt_top
10 atoms in group cnt_bot
680 atoms in group cnt_mid
630 atoms in group rdel
Deleted 10 atoms, new total = 690
Resetting atom IDs ...
Last active /omp style is pair_style airebo/omp
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.2
  ghost atom cutoff = 12.2
  binsize = 6.1, bins = 20 14 14
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair airebo/omp, perpetual
      attributes: full, newton on, ghost, omp
      pair build: full/bin/ghost/omp
      stencil: full/ghost/bin/3d
      bin: standard
WARNING: Temperature for thermo pressure is not for group all (src/thermo.cpp:533)
Last active /omp style is pair_style airebo/omp
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 12.74 | 12.74 | 12.74 Mbytes
   Step          Temp          TotEng         v_Lcnt         v_Fcnt    
     24900   292.63393     -4420.3555      66.647         133.13029    
     25000   289.82639     -4415.8553      66.722         125.41948    
     25100   293.98553     -4411.1025      66.797         122.32947    
     25200   298.93288     -4406.0968      66.872         127.57383    
     25300   321.48884     -4401.3919      66.947         131.71591    
     25400   344.69174     -4397.3595      67.022         129.76661    
     25500   344.1578      -4394.6322      67.097         138.66779    
     25600   343.23623     -4391.4384      67.172         142.1037     
     25700   339.10289     -4388.4555      67.247         136.71287    
     25800   313.95898     -4385.4171      67.322         129.31327    
     25900   310.63143     -4382.3479      67.397         135.3123     
     26000   290.10917     -4378.7598      67.472         124.68519    
     26100   305.15034     -4374.9108      67.547         129.37674    
     26200   303.17964     -4370.7625      67.622         135.19288    
     26300   292.61917     -4366.199       67.697         120.8006     
     26400   317.3898      -4361.3713      67.772         122.63091    
     26500   308.30501     -4357.1447      67.847         144.33827    
     26600   313.68616     -4353.2907      67.922         133.7627     
     26700   307.14637     -4349.5689      67.997         132.5895     
     26800   299.24717     -4345.1237      68.072         140.36881    
     26900   289.25463     -4340.7552      68.147         121.94209    
     27000   291.73906     -4336.0056      68.222         129.44942    
     27100   299.57328     -4330.833       68.297         138.79412    
     27200   291.30819     -4325.3173      68.372         143.17891    
     27300   304.49919     -4319.373       68.447         130.9799     
     27400   302.19663     -4313.2376      68.522         146.65457    
     27500   297.09031     -4307.6154      68.597         135.4939     
     27600   313.39976     -4302.297       68.672         131.83518    
     27700   296.64301     -4297.6506      68.747         140.43056    
     27800   300.46701     -4293.4739      68.822         137.35761    
     27900   293.67314     -4288.7869      68.897         135.10588    
     28000   305.51949     -4283.8086      68.972         132.92055    
     28100   293.18108     -4278.5269      69.047         141.19108    
     28200   299.28365     -4272.8616      69.122         144.94953    
     28300   297.75415     -4267.0492      69.197         136.85059    
     28400   298.55029     -4261.2375      69.272         151.04402    
     28500   313.37627     -4255.4875      69.347         152.75473    
     28600   320.48849     -4250.8325      69.422         150.37773    
     28700   314.07757     -4247.4691      69.497         136.55065    
     28800   303.73738     -4242.9962      69.572         154.21773    
     28900   316.4185      -4238.6562      69.647         150.38527    
     29000   313.94935     -4234.5108      69.722         142.10986    
     29100   313.40817     -4230.2821      69.797         150.6946     
     29200   305.24154     -4226.0072      69.872         147.73248    
     29300   323.75995     -4221.4875      69.947         150.84992    
     29400   310.11299     -4217.5559      70.022         147.38294    
