ITEM: TIMESTEP
15800
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
30 -81.1422 
31 -132.536 
32 104.897 
33 -14.6201 
34 94.926 
35 -23.969 
36 -144.547 
37 91.2946 
38 -29.2829 
39 -149.81 
40 -148.391 
41 91.0313 
42 -29.4962 
43 46.9024 
44 -72.5792 
45 170.756 
46 171.764 
47 -69.7435 
48 49.3339 
49 -144.249 
50 -22.3221 
51 98.0355 
52 167.579 
53 43.7329 
54 -70.3366 
55 -78.0148 
56 39.3855 
57 165.115 
58 -74.2877 
59 166.752 
60 41.4066 
61 -69.8253 
62 164.83 
63 49.1355 
64 50.1541 
65 -75.1907 
66 169.115 
67 146.012 
68 19.1924 
69 -95.9827 
70 82.1584 
71 -162.37 
72 -39.9181 
73 80.2777 
74 -31.9566 
75 -158.341 
76 91.9023 
77 -34.4819 
78 -155.863 
79 -151.02 
80 82.5956 
81 -38.7859 
82 62.835 
83 -55.9862 
84 179.567 
85 -153.472 
86 -34.7314 
87 -67.5673 
88 171.469 
89 52.3679 
90 -120.117 
91 -8.33843 
92 116.581 
93 162.808 
94 40.7153 
95 -80.0256 
96 162.706 
97 41.9655 
98 -75.2008 
99 -82.1488 
100 157.11 
101 39.9439 
102 93.5177 
103 -146.701 
104 -26.5852 
105 53.1833 
106 -66.0271 
107 175.571 
108 54.6846 
109 -63.7174 
110 173.895 
111 177.911 
112 59.509 
113 -62.8787 
114 -160.293 
115 76.7404 
116 -43.8672 
ITEM: TIMESTEP
16050
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 110.836 
2 -129.202 
3 -17.1356 
4 -143.487 
5 100.614 
6 -19.7239 
7 -133.127 
8 106.535 
9 -17.2273 
10 -16.9204 
11 -137.258 
12 98.9793 
13 141.595 
14 19.0072 
15 -101.056 
16 -130.603 
17 -14.9815 
18 104.026 
19 111.262 
20 -4.7342 
21 -122.922 
22 121.082 
23 -13.2589 
24 -129.255 
25 -71.6507 
26 164.109 
27 50.0695 
28 118.237 
29 -6.17428 
30 -122.314 
31 115.969 
32 -0.170938 
33 -119.62 
34 -129.275 
35 114.585 
36 -4.86372 
37 74.4708 
38 -40.075 
39 -162.136 
40 -170.033 
41 -47.1773 
42 70.7788 
43 133.597 
44 137.824 
45 15.1939 
46 -106.743 
47 -102.736 
48 134.634 
49 12.6973 
50 18.1644 
51 -104.466 
52 -143.04 
53 94.8426 
54 -20.47 
55 169.45 
56 52.8632 
57 -72.9624 
58 -95.5485 
59 22.7776 
60 137.816 
61 -54.9105 
62 -178.057 
63 71.136 
64 -54.9749 
65 -165.782 
66 68.1713 
67 68.2901 
68 -42.5173 
69 -168.564 
70 138.951 
71 18.8551 
72 -103.749 
73 76.4807 
74 -152.295 
75 -44.3966 
76 68.3432 
77 -63.1053 
78 -174.449 
79 50.2066 
80 -61.1372 
81 -178.345 
82 164.197 
83 52.8527 
84 -64.3549 
85 71.1156 
86 -49.011 
87 -156.771 
88 -156.418 
89 -40.8357 
90 168.165 
91 45.67 
92 -76.8293 
93 158.615 
94 36.1153 
95 -78.8904 
96 -78.0655 
97 159.435 
98 44.4295 
99 -150.025 
100 -28.284 
101 94.4249 
102 137.556 
103 -101.636 
104 12.4228 
105 92.1197 
106 -30.9455 
107 -149.284 
108 85.5265 
109 -32.812 
110 -151.408 
111 -157.694 
112 83.9677 
113 -34.6285 
114 -161.893 
115 82.1583 
116 -38.0821 
ITEM: TIMESTEP
16100
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 129.619 
2 -116.443 
3 8.02263 
4 -118.151 
5 125.784 
6 3.11696 
7 -113.159 
8 124.174 
9 2.90597 
10 6.52784 
11 -116.139 
12 122.593 
13 144.691 
14 26.396 
15 -96.3247 
16 -146.107 
17 -22.4943 
18 99.2229 
19 120.359 
20 10.3072 
21 -118.65 
22 131.298 
23 2.30884 
24 -107.743 
25 -99.6206 
26 141.624 
27 20.0189 
28 129.058 
29 8.45733 
30 -109.229 
31 127.733 
32 10.0466 
33 -111.667 
34 -119.571 
35 122.742 
36 1.02929 
37 51.4104 
38 -71.7272 
39 -179.429 
40 -162.162 
41 -43.5973 
42 77.7658 
43 122.458 
44 114.53 
45 -9.62129 
46 -121.864 
47 -119.208 
48 116.641 
49 4.39807 
50 -1.14861 
51 -125.3 
52 -146.215 
53 98.5226 
54 -25.8225 
55 173.887 
56 55.2687 
57 -62.8289 
58 -92.2112 
59 36.0654 
60 152.54 
61 -64.4183 
62 172.526 
63 46.6576 
64 -65.34 
65 168.792 
66 57.7162 
67 44.994 
68 -80.8739 
69 168.05 
70 134.3 
71 15.8406 
72 -104.522 
73 84.6348 
74 -159.322 
75 -30.0686 
76 58.7602 
77 -66.5282 
78 178.247 
79 51.4601 
80 -63.7649 
81 176.749 
82 170.897 
83 55.6725 
84 -63.8142 
85 80.7329 
86 -36.6158 
87 -159.721 
88 -168.55 
89 -58.2969 
90 170.499 
91 45.0155 
92 -71.5954 
93 160.664 
94 44.0528 
95 -73.8532 
96 -82.0844 
97 161.305 
98 43.3987 
99 -153.176 
100 -26.7008 
101 88.1494 
102 -137.058 
103 -5.91904 
104 104.451 
105 118.422 
106 -6.96919 
107 -120.209 
108 114.794 
109 1.55411 
110 -119.815 
111 -125.581 
112 121.18 
113 -0.189375 
114 -159.622 
115 79.1698 
116 -42.1952 
ITEM: TIMESTEP
16150
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
